"Song Name",Popularity
"Romantic Love Mashup (Best of love music)",39
"Pyar Karda - From "Lover"""",39
"Bewafai Kar Gaya",39
"Ikk Munda 2 - Waiting For Love",39
"Romantic Love Mashup (Best of love music)",39
"Pyar Karda - From "Lover"""",39
"Bewafai Kar Gaya",39
"Ikk Munda 2 - Waiting For Love",39
"Romantic Love Mashup (Best of love music)",39
"Pyar Karda - From "Lover"""",39
"Bewafai Kar Gaya",39
"Ikk Munda 2 - Waiting For Love",39
"Romantic Love Mashup (Best of love music)",39
"Pyar Karda - From "Lover"""",39
"Bewafai Kar Gaya",39
"Breakup Mashup",40
"Fuck Love",40
"Breakup Mashup",40
"Fuck Love",40
"Breakup Mashup",40
"Fuck Love",40
"Breakup Mashup",40
"Fuck Love",40
"Breakup Mashup",40
"Fuck Love",40
"Breakup Mashup",40
"Fuck Love",40
"Breakup Mashup",40
"Fuck Love",40
"Breakup Mashup",40
"Fuck Love",40
"Daring Love",41
"Daring Love",41
"Daring Love",41
"Daring Love",41
"Daring Love",41
"Daring Love",41
"Daring Love",41
"Daring Love",41
"Mob N Love",42
"Pehla Valentine",42
Proposal,42
"Mob N Love",42
"Pehla Valentine",42
Proposal,42
"Mob N Love",42
"Pehla Valentine",42
Proposal,42
"Mob N Love",42
"Pehla Valentine",42
Proposal,42
"Mob N Love",42
"Pehla Valentine",42
Proposal,42
"Mob N Love",42
"Pehla Valentine",42
Proposal,42
"Mob N Love",42
"Pehla Valentine",42
Proposal,42
"Mob N Love",42
"Pehla Valentine",42
Proposal,42
"Silent Love",44
Heerey,44
"Silent Love",44
Heerey,44
"Silent Love",44
Heerey,44
"Silent Love",44
Heerey,44
"Silent Love",44
Heerey,44
"Silent Love",44
Heerey,44
"Silent Love",44
Heerey,44
"Silent Love",44
Heerey,44
Zindagi,45
Darling,45
Zindagi,45
Darling,45
Zindagi,45
Darling,45
Zindagi,45
Darling,45
Zindagi,45
Darling,45
Zindagi,45
Darling,45
Zindagi,45
Darling,45
Zindagi,45
Darling,45
Relation,46
Paagla,46
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46
Relation,46
Paagla,46
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46
Relation,46
Paagla,46
